iso3_d,trade_actual,trade_predicted,n_years,gdp_d_last,potential_ratio,gap_usd,gap_pct,classification
SUR,18036169.06483333,15171270.441068143,18,3068766109.75333,0.8411581409850982,-2864898.623765189,-15.88418590149018,Équilibre
ISL,58281142.57688889,54809925.074144974,18,24489493459.0074,0.9404401260980012,-3471217.5027439147,-5.955987390199879,Équilibre
HTI,30030189.2095,26069646.082816977,18,8409497402.4589,0.8681146129632074,-3960543.126683023,-13.188538703679267,Équilibre
PER,371138699.7557222,365011387.41809505,18,211007207483.515,0.9834905054588484,-6127312.3376271725,-1.650949454115153,Équilibre
ATG,14626274.874222223,7263772.92763013,18,1467977777.77778,0.49662494313107824,-7362501.9465920925,-50.33750568689217,Sur-exploité
THA,527751577.4568333,511624173.22050655,18,455275517239.3471,0.969441296008924,-16127404.236326754,-3.055870399107594,Équilibre
MAR,210115583.5626111,188668632.11508074,18,109714300453.983,0.8979278400778897,-21446951.44753036,-10.207215992211024,Équilibre
BMU,51606254.35714286,20985473.292971134,14,5573710000.0,0.40664592992431586,-30620781.064171724,-59.33540700756842,Sur-exploité
BRB,56717198.43805555,19305847.17033899,18,4989500000.0,0.3403878841340185,-37411351.267716564,-65.96121158659814,Sur-exploité
BWA,82521256.9631111,44371701.57117268,18,17405538618.3969,0.537700262988091,-38149555.391938426,-46.22997370119089,Sur-exploité
NZL,317692568.81288886,276960539.66586787,18,202590814084.99103,0.8717879070976605,-40732029.147020996,-12.82120929023395,Équilibre
LKA,174155528.8451111,129940131.42893833,18,88019706803.834,0.7461154537591702,-44215397.41617277,-25.38845462408298,Sur-exploité
GHA,134686581.00905555,88685848.62736239,18,58996776237.7603,0.6584609094903052,-46000732.38169317,-34.15390905096948,Sur-exploité
DZA,331241461.0483889,279938439.3061944,18,167390266100.763,0.8451189607127716,-51303021.742194474,-15.488103928722847,Équilibre
VEN,569651182.9333333,508208583.5030599,15,482359318767.7029,0.8921399599068962,-61442599.430273354,-10.786004009310384,Équilibre
PHL,427542824.48788893,365738857.0898119,18,313619747740.18604,0.855443796835777,-61803967.39807701,-14.455620316422301,Équilibre
BGD,325439098.0517778,262207623.7293377,18,249723862487.36105,0.8057041249776944,-63231474.32244009,-19.429587502230564,Équilibre
JAM,116524260.44033334,42915873.13859247,18,14806340821.0871,0.36829989717521266,-73608387.30174087,-63.17001028247874,Sur-exploité
BHS,129816949.82677777,35555162.397548534,18,12150400000.0,0.27388690340507793,-94261787.42922923,-72.61130965949219,Sur-exploité
MLT,139987088.73294443,32966958.944051906,18,12768671649.7805,0.23549999676715538,-107020129.78889252,-76.45000032328446,Sur-exploité
IDN,991737547.6832223,875767095.5718244,18,1015423455783.28,0.8830633645138131,-115970452.11139786,-11.693663548618689,Équilibre
CHL,531930740.597,405512794.39522576,18,277746461078.319,0.7623413415440288,-126417946.20177424,-23.76586584559712,Équilibre
